COUNTRY,Avg_TAVG_Period1,Avg_TAVG_Period2,TAVG_Change_Percent,Abs_Change_Percent
Switzerland,-0.43846153846153846,0.42000000000000004,-195.78947413074795,195.78947413074795
Romania,3.878333333333334,-0.6,-115.47056292682323,115.47056292682323
Antarctica,-6.537999999999999,-12.133333333333333,85.58172735070589,85.58172735070589
Jan Mayen [Norway],0.6538461538461539,1.1583333333333334,77.15686262709345,77.15686262709345
Greenland [Denmark],-4.402272727272727,-6.576666666666666,49.392531417174,49.392531417174
Russia,-2.0742288528562995,-1.16083238401319,-44.035472172016085,44.035472172016085
Svalbard [Norway],-3.623076923076923,-2.308333333333333,-36.28803964200449,36.28803964200449
Finland,3.0051282051282056,3.7416666666666667,24.50938565737314,24.50938565737314
Denmark,9.9,7.65,-22.727272724977045,22.727272724977045
Austria,5.635897435897435,6.459999999999999,14.622383982846795,14.622383982846795
