COUNTRY,DATE,TAVG
Marshall Islands,2026-01-01,28.581901314512333
Marshall Islands,2027-01-01,28.614345802711078
Marshall Islands,2028-01-01,28.64030078704985
Marshall Islands,2029-01-01,28.62359121351702
Marshall Islands,2030-01-01,28.620518602773394
Marshall Islands,2031-01-01,28.626296167927688
Marshall Islands,2032-01-01,28.625616113037097
Marshall Islands,2033-01-01,28.624097132994624
Marshall Islands,2034-01-01,28.624715216531058
Marshall Islands,2035-01-01,28.62499388830357
France,2026-01-01,14.340676612331867
France,2027-01-01,14.232694921429013
France,2028-01-01,14.216222464837571
France,2029-01-01,14.265214615581336
France,2030-01-01,14.244974073374879
France,2031-01-01,14.237658640168917
France,2032-01-01,14.249116845724984
France,2033-01-01,14.2456699078584
France,2034-01-01,14.24326652719593
France,2035-01-01,14.245840720275115
Iceland,2026-01-01,5.991339200236884
Iceland,2027-01-01,5.9918360568534474
Iceland,2028-01-01,5.9915358148646805
Iceland,2029-01-01,5.991717245983465
Iceland,2030-01-01,5.991607610249307
Iceland,2031-01-01,5.991673861255666
Iceland,2032-01-01,5.991633826901198
Iceland,2033-01-01,5.991658018979564
Iceland,2034-01-01,5.991643400118752
Iceland,2035-01-01,5.991652234047288
Palau,2026-01-01,28.101926729086006
Palau,2027-01-01,28.173827320557944
Palau,2028-01-01,28.195734068352767
Palau,2029-01-01,28.10250056425087
Palau,2030-01-01,28.17742125229649
Palau,2031-01-01,28.19145387153041
Palau,2032-01-01,28.103399464616164
Palau,2033-01-01,28.180692996903883
Palau,2034-01-01,28.187187806417118
Palau,2035-01-01,28.10460000600308
China,2026-01-01,18.0
China,2027-01-01,18.0
China,2028-01-01,18.0
China,2029-01-01,18.0
China,2030-01-01,18.0
China,2031-01-01,18.0
China,2032-01-01,18.0
China,2033-01-01,18.0
China,2034-01-01,18.0
China,2035-01-01,18.0
Slovakia,2026-01-01,8.22254843939904
Slovakia,2027-01-01,8.236263558667797
Slovakia,2028-01-01,8.169517645388783
Slovakia,2029-01-01,8.086477490509616
Slovakia,2030-01-01,8.039192820359117
Slovakia,2031-01-01,8.042373646935209
Slovakia,2032-01-01,8.07750445213895
Slovakia,2033-01-01,8.11425924889752
Slovakia,2034-01-01,8.131452438001206
Slovakia,2035-01-01,8.125910046564375
United Kingdom,2026-01-01,9.563339789000127
United Kingdom,2027-01-01,9.661806842520663
United Kingdom,2028-01-01,9.834445744511934
United Kingdom,2029-01-01,9.744514413060307
United Kingdom,2030-01-01,9.781519422516384
United Kingdom,2031-01-01,9.712459717390399
United Kingdom,2032-01-01,9.683595568287112
United Kingdom,2033-01-01,9.751231006721866
United Kingdom,2034-01-01,9.72381161846474
United Kingdom,2035-01-01,9.751827429639963
American Samoa [United States],2026-01-01,28.16995195994512
American Samoa [United States],2027-01-01,28.237708979410186
American Samoa [United States],2028-01-01,28.244687766942945
American Samoa [United States],2029-01-01,28.219022542863218
American Samoa [United States],2030-01-01,28.230125573355206
American Samoa [United States],2031-01-01,28.23268500474181
American Samoa [United States],2032-01-01,28.227741683427755
American Samoa [United States],2033-01-01,28.229485106909234
American Samoa [United States],2034-01-01,28.23018392971009
American Samoa [United States],2035-01-01,28.229253010317347
Netherlands,2026-01-01,11.29128836224452
Netherlands,2027-01-01,11.257005560630619
Netherlands,2028-01-01,11.25313517465314
Netherlands,2029-01-01,11.252698340797656
Netherlands,2030-01-01,11.252649037023396
Netherlands,2031-01-01,11.252643472294476
Netherlands,2032-01-01,11.25264284422475
Netherlands,2033-01-01,11.252642773336916
Netherlands,2034-01-01,11.252642765336077
Netherlands,2035-01-01,11.252642764433054
Hungary,2026-01-01,12.671704585993876
Hungary,2027-01-01,12.669871275718949
Hungary,2028-01-01,12.669851745841793
Hungary,2029-01-01,12.677090897799305
Hungary,2030-01-01,12.678028706727696
Hungary,2031-01-01,12.678069068816075
Hungary,2032-01-01,12.676217637616105
Hungary,2033-01-01,12.675857778910185
Hungary,2034-01-01,12.675830638458157
Hungary,2035-01-01,12.676303477934026
Croatia,2026-01-01,13.834416418473847
Croatia,2027-01-01,13.93359868962428
Croatia,2028-01-01,13.95563704961606
Croatia,2029-01-01,13.952839058090499
Croatia,2030-01-01,13.94248143369578
Croatia,2031-01-01,13.93024213314913
Croatia,2032-01-01,13.917960616186237
Croatia,2033-01-01,13.90620777641056
Croatia,2034-01-01,13.89513689816597
Croatia,2035-01-01,13.884765318244403
South Africa,2026-01-01,15.636846377651906
South Africa,2027-01-01,15.975312795556269
South Africa,2028-01-01,16.040552639819808
South Africa,2029-01-01,16.029072221899458
South Africa,2030-01-01,16.015809599631353
South Africa,2031-01-01,16.01112335681788
South Africa,2032-01-01,16.010594873290806
South Africa,2033-01-01,16.010925986100023
South Africa,2034-01-01,16.01114279812987
South Africa,2035-01-01,16.01120184208935
Svalbard [Norway],2026-01-01,-2.885513995476886
Svalbard [Norway],2027-01-01,-3.0787315278153398
Svalbard [Norway],2028-01-01,-2.3742004771412066
Svalbard [Norway],2029-01-01,-2.089216709129438
Svalbard [Norway],2030-01-01,-2.4631561865624674
